baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	delabel	diffexpressed	celltype	genotype	gene	tp
20.7017750458083	-0.273464676078475	0.339161431520629	-0.806296502678377	0.420071906573876	0.752971225700645	NA	No	ESC	HHEX	LINC01409	D-1
9.10622191788002	-0.286290880860197	0.483174986357152	-0.59252007853026	0.553502379530431	NA	NA	No	ESC	HHEX	LINC01128	D-1
0.730462091726755	3	1.87940890733827	2.1350489682402	0.0327570104358106	NA	NA	No	ESC	HHEX	SAMD11	D-1
74.6438995084114	-0.0574704464215581	0.173312718983759	-0.331599704618007	0.740191542652204	0.917876780344577	NA	No	ESC	HHEX	NOC2L	D-1
5.05029118572137	0.0292949635494654	0.699313211926153	0.0418910483169293	0.966585552543595	NA	NA	No	ESC	HHEX	KLHL17	D-1
2.45700843458728	1.06837846344935	0.951573033558681	1.12274983187979	0.261543757517996	NA	NA	No	ESC	HHEX	PLEKHN1	D-1
4.23798422451104	1.31264933104983	0.755639019106747	1.73713810147275	0.0823627974563467	NA	NA	No	ESC	HHEX	HES4	D-1
53.0555282325543	0.384019126454519	0.227348253196085	1.68912283712735	0.0911958922468331	0.395092566031457	NA	No	ESC	HHEX	ISG15	D-1
3.05247665513412	-1.39781792025372	0.793174608554572	-1.76230795234484	0.0780172810119093	NA	NA	No	ESC	HHEX	AGRN	D-1
23.6659047279789	-0.366479649935172	0.310011008059488	-1.18215044113804	0.237146012939518	0.600444073622291	NA	No	ESC	HHEX	C1orf159	D-1
0.884372530293268	0.0156190451954709	1.59804109763713	0.009773869532245	0.992201704561062	NA	NA	No	ESC	HHEX	TNFRSF18	D-1
49.308285912764	-0.101458272145914	0.224686960399677	-0.451553895096707	0.651590390512968	0.878863415827406	NA	No	ESC	HHEX	SDF4	D-1
15.4570080912984	0.402427188030656	0.374633090105404	1.07419018410102	0.282737450903956	0.645107537419285	NA	No	ESC	HHEX	B3GALT6	D-1
2.76859840495184	-0.306778146161625	0.996910762664333	-0.307728793439579	0.758288708214772	NA	NA	No	ESC	HHEX	C1QTNF12	D-1
69.5460638044292	0.130759917780404	0.190876821182628	0.685048697742587	0.493313191809529	0.801290331176485	NA	No	ESC	HHEX	UBE2J2	D-1
7.87189095118563	-0.467464918655346	0.518029415340465	-0.902390684413381	0.366849367901785	NA	NA	No	ESC	HHEX	ACAP3	D-1
39.6906369938465	0.265401655976747	0.249454825730674	1.06392672580842	0.287361894836481	0.649421465258889	NA	No	ESC	HHEX	PUSL1	D-1
41.8874059879475	0.0679452142268666	0.216013854582527	0.314541001817588	0.753110180500329	0.923323001409513	NA	No	ESC	HHEX	INTS11	D-1
4.6323940523098	0.19420646846972	0.689141125242693	0.281809431125339	0.778089638920416	NA	NA	No	ESC	HHEX	CPTP	D-1
12.6702431493044	0.696422057559714	0.415131808181921	1.67759261958198	0.0934266545920624	0.39977838216	NA	No	ESC	HHEX	DVL1	D-1
4.55297647106698	0.625001953083079	0.680172359299535	0.918887609203538	0.358154361617375	NA	NA	No	ESC	HHEX	MXRA8	D-1
434.719904750063	0.0950770935558671	0.0980081108959915	0.970094134930986	0.331999572213578	0.687028731855869	NA	No	ESC	HHEX	AURKAIP1	D-1
46.4262083017659	-0.157375576715493	0.221420138123205	-0.710755480731946	0.477235772706946	0.792567402275302	NA	No	ESC	HHEX	CCNL2	D-1
11.0927000696978	0.319262453602999	0.423162240371645	0.754468199531708	0.450568133499423	0.776544438980182	NA	No	ESC	HHEX	MRPL20-AS1	D-1
319.813298739014	-0.177830417820236	0.0985256435617699	-1.80491505958798	0.0710879748363585	0.349660364032495	NA	No	ESC	HHEX	MRPL20	D-1
1.34420162911646	0.406942132999093	1.24734846418879	0.326245748227017	0.744238431103333	NA	NA	No	ESC	HHEX	MRPL20-DT	D-1
2.56506104417311	0.68072202283276	0.860256467106734	0.791301255917558	0.428768215723516	NA	NA	No	ESC	HHEX	ANKRD65	D-1
15.5387270691788	-0.352267530138997	0.386500248093185	-0.911428988407959	0.362069385508788	0.71066481487746	NA	No	ESC	HHEX	VWA1	D-1
1.13190759576022	1.02582541901182	1.30628872364657	0.785297614870454	0.432279093922158	NA	NA	No	ESC	HHEX	ATAD3C	D-1
21.7424434575498	-0.232687825162721	0.317363340035724	-0.733190623518548	0.463442173395003	0.783329895785069	NA	No	ESC	HHEX	ATAD3B	D-1
41.5853484386841	0.0823283227678736	0.225056681013461	0.365811503116184	0.714505735709659	0.905565586854123	NA	No	ESC	HHEX	ATAD3A	D-1
7.28467346169164	0.94073066467322	0.533496131121225	1.76333174656043	0.0778445539533128	NA	NA	No	ESC	HHEX	TMEM240	D-1
195.421014526388	0.0603734331874071	0.106218628274874	0.568388371869877	0.56977128440751	0.84176789507176	NA	No	ESC	HHEX	SSU72	D-1
18.6312351608629	0.15075734893187	0.325916690870372	0.46256406362395	0.643676872376802	0.874764354174869	NA	No	ESC	HHEX	FNDC10	D-1
49.4247267966604	-0.14619413681012	0.212736702032061	-0.687206934269795	0.491952335255893	0.800590153181465	NA	No	ESC	HHEX	MIB2	D-1
12.6223841929815	1.09893104872822	0.44192627875384	2.48668409542656	0.0128939838065317	0.153667002839141	NA	No	ESC	HHEX	MMP23B	D-1
80.7197095159003	0.329244522079	0.165882157377286	1.98480974255814	0.0471656431497246	0.290085340545431	NA	No	ESC	HHEX	CDK11B	D-1
9.80842242486061	-0.370590601734518	0.457967242249401	-0.809207662788905	0.418395707999449	NA	NA	No	ESC	HHEX	SLC35E2B	D-1
