baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	delabel	diffexpressed	celltype	genotype	gene	tp
20.7017750458083	-0.0293015221868888	0.407603095274978	-0.0718873888018965	0.942691526360661	0.999104254559413	NA	No	ESC	TET1/2/3	LINC01409	D-1
9.10622191788002	0.225673317900111	0.577194183999309	0.390983353880053	0.695809540155118	0.999104254559413	NA	No	ESC	TET1/2/3	LINC01128	D-1
0.730462091726755	0	2.54663045493637	0	1	NA	NA	No	ESC	TET1/2/3	SAMD11	D-1
74.6438995084114	-0.0919116526809023	0.212555217000473	-0.432413064134285	0.665441224769622	0.999104254559413	NA	No	ESC	TET1/2/3	NOC2L	D-1
5.05029118572137	0.218330073682918	0.845925662964308	0.258096051747433	0.796332778630939	0.999104254559413	NA	No	ESC	TET1/2/3	KLHL17	D-1
2.45700843458728	1.19252858420422	1.08454165452916	1.09956918595436	0.27151987392634	NA	NA	No	ESC	TET1/2/3	PLEKHN1	D-1
4.23798422451104	1.28166808722416	0.959442759272414	1.33584632833761	0.181599506775712	0.984048088746562	NA	No	ESC	TET1/2/3	HES4	D-1
53.0555282325543	0.310668728576542	0.284364685719013	1.09250108813976	0.274612912450746	0.999104254559413	NA	No	ESC	TET1/2/3	ISG15	D-1
3.05247665513412	-0.864248003137872	0.898896337173054	-0.961454583134526	0.336323650859662	NA	NA	No	ESC	TET1/2/3	AGRN	D-1
23.6659047279789	-0.497609841940322	0.369922674846353	-1.34517258815509	0.178569506261311	0.983289671155526	NA	No	ESC	TET1/2/3	C1orf159	D-1
0.884372530293268	-1.88374321639818	2.19744986670355	-0.857240588256984	0.391311935296953	NA	NA	No	ESC	TET1/2/3	TNFRSF18	D-1
49.308285912764	-0.127031610961628	0.276828174130963	-0.458882522923881	0.646318529871548	0.999104254559413	NA	No	ESC	TET1/2/3	SDF4	D-1
15.4570080912984	0.329162366272088	0.432721748304549	0.760679045048654	0.446848793969867	0.999104254559413	NA	No	ESC	TET1/2/3	B3GALT6	D-1
2.76859840495184	-0.0401871958625893	1.1821078295567	-0.0339962183294734	0.972880166295523	NA	NA	No	ESC	TET1/2/3	C1QTNF12	D-1
69.5460638044292	0.0146997658548142	0.232977676077522	0.0630951690406722	0.949690721183151	0.999104254559413	NA	No	ESC	TET1/2/3	UBE2J2	D-1
7.87189095118563	-0.52991013159848	0.644609350825254	-0.822063984830608	0.411040481701106	0.999104254559413	NA	No	ESC	TET1/2/3	ACAP3	D-1
39.6906369938465	0.200811501886908	0.305297917706327	0.657755884467163	0.510695006037068	0.999104254559413	NA	No	ESC	TET1/2/3	PUSL1	D-1
41.8874059879475	-0.0417308962498242	0.262573138959488	-0.158930560891313	0.873723582594474	0.999104254559413	NA	No	ESC	TET1/2/3	INTS11	D-1
4.6323940523098	-0.563100942119651	0.885800704800172	-0.635697103274128	0.52497386481868	0.999104254559413	NA	No	ESC	TET1/2/3	CPTP	D-1
12.6702431493044	0.136746481653813	0.532029348258017	0.257028079562812	0.797157096706101	0.999104254559413	NA	No	ESC	TET1/2/3	DVL1	D-1
4.55297647106698	0.793652841672757	0.821859595593472	0.9656793519575	0.334204654658497	0.999104254559413	NA	No	ESC	TET1/2/3	MXRA8	D-1
434.719904750063	0.016122746266481	0.123046651528599	0.131029540960191	0.89575193855365	0.999104254559413	NA	No	ESC	TET1/2/3	AURKAIP1	D-1
46.4262083017659	-0.187334459122488	0.266078151760201	-0.704058029128675	0.481396636317891	0.999104254559413	NA	No	ESC	TET1/2/3	CCNL2	D-1
11.0927000696978	0.174331685083904	0.50534924625256	0.344972682509508	0.730114907729478	0.999104254559413	NA	No	ESC	TET1/2/3	MRPL20-AS1	D-1
319.813298739014	-0.155539425582305	0.120873059973946	-1.28679976841681	0.198164087692209	0.99168535051768	NA	No	ESC	TET1/2/3	MRPL20	D-1
1.34420162911646	1.10085663253361	1.38814171060323	0.793043407690144	0.427752532920424	NA	NA	No	ESC	TET1/2/3	MRPL20-DT	D-1
2.56506104417311	0.404413273933722	1.1178297038473	0.361784333107119	0.717513200605832	NA	NA	No	ESC	TET1/2/3	ANKRD65	D-1
15.5387270691788	-0.45098965134362	0.462403691080158	-0.975315855048917	0.329403608152816	0.999104254559413	NA	No	ESC	TET1/2/3	VWA1	D-1
1.13190759576022	0.809568596881596	1.62849817987934	0.497125883764622	0.619100282828279	NA	NA	No	ESC	TET1/2/3	ATAD3C	D-1
21.7424434575498	0.0412825957558703	0.385280793074501	0.107149373905819	0.9146704778847	0.999104254559413	NA	No	ESC	TET1/2/3	ATAD3B	D-1
41.5853484386841	-0.400310982624374	0.287607217779343	-1.39186695561827	0.163962689917957	0.975376333261569	NA	No	ESC	TET1/2/3	ATAD3A	D-1
7.28467346169164	1.17548869378096	0.609528452347313	1.92852144843135	0.0537902990350205	0.962365545584655	NA	No	ESC	TET1/2/3	TMEM240	D-1
195.421014526388	0.240095825170403	0.127261660117523	1.88663125208865	0.0592099402581627	0.969257305462532	NA	No	ESC	TET1/2/3	SSU72	D-1
18.6312351608629	0.0915995923028512	0.397155919595161	0.230638869480336	0.817595368110479	0.999104254559413	NA	No	ESC	TET1/2/3	FNDC10	D-1
49.4247267966604	-1.36832176607533	0.316039926349705	-4.32958513147244	1.49390511690962e-05	0.0239211556845154	MIB2	Down	ESC	TET1/2/3	MIB2	D-1
12.6223841929815	0.372668227515561	0.603184048542952	0.617835018044286	0.536684097540706	0.999104254559413	NA	No	ESC	TET1/2/3	MMP23B	D-1
