"DAV","Dataset","Gene Symbol","Analysis Type","Assay Type","DAV Matrix","Output Image Object","Location","Script"
"Fred-Hutch","MSK sc-RNA-seq","PBX1","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","PBX1_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/PBX1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","PDX1","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","PDX1_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/PDX1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","PDX1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/PDX1.tsv","PDX1_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/PDX1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","PDX1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/PDX1.tsv","PDX1_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/PDX1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","PDX1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/PDX1.tsv","PDX1_DE-dotplot.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/PDX1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","PDX1","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","PDX1_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/PDX1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","PDX1het","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","PDX1het_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/PDX1het","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","PDX1het","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","PDX1het_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/PDX1het","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","PROSER1","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","PROSER1_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/PROSER1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","PROSER1","UMAP","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/metadata.csv","PROSER1_umap.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/PROSER1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","QSER1","Cell Type Proportion","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/cell_type_composition/ct_prop_all.csv","QSER1_ct-prop.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/QSER1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","QSER1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/QSER1.tsv","QSER1_nDEG-updown.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/QSER1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","QSER1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/QSER1.tsv","QSER1_nDEG-total.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/QSER1","4_genotype-plots.Rmd"
"Fred-Hutch","MSK sc-RNA-seq","QSER1","Differential Expression (pseudobulk)","sc-RNA-seq","MorPhiC_MSK_KO_effect/outs/differential_expression/genotype_DEGs/QSER1.tsv","QSER1_DE-dotplot.png","MorPhiC_MSK_KO_effect/outs/genotype_plots/QSER1","4_genotype-plots.Rmd"
